Data File Name,2100 expert_High Sensitivity DNA Assay_DE13805071_2013-12-03_10-55-45.xad
Data File Path,C:\Users\Laura\Documents\ARTICLE\05_different cells\adipocytes mouse\shearing
Date Created,"Tuesday, December 03, 2013 9:55:45 AM"
Date Last Modified,"Tuesday, December 03, 2013 10:37:03 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,-0.3098717
32.05,-0.3303014
32.1,-0.3688439
32.15,-0.18929
32.2,-3.402186E-02
32.25,0.0801418
32.3,8.668471E-02
32.35,8.293321E-02
32.4,0.1026564
32.45,3.494936E-02
32.5,-4.734001E-02
32.55,-0.1250929
32.6,-7.233442E-02
32.65,3.044219E-02
32.7,-1.744245E-02
32.75,-0.1161873
32.8,-0.1248787
32.85,-0.122681
32.9,-8.013753E-02
32.95,7.324205E-03
33,-9.338585E-02
33.05,-0.1369743
33.1,-0.1123948
33.15,-0.1618901
33.2,-0.2801071
33.25,-0.2576709
33.3,-9.032068E-02
33.35,9.844601E-02
33.4,0.1012617
33.45,3.000945E-02
33.5,-0.1164442
33.55,-0.1471808
33.6,1.560759E-02
33.65,8.091539E-02
33.7,4.870349E-02
33.75,-2.381894E-02
33.8,-0.11508
33.85,-0.200994
33.9,-0.1120548
33.95,1.629364E-02
34,5.152534E-02
34.05,7.593301E-02
34.1,9.383291E-03
34.15,-1.986905E-02
34.2,-0.1124823
34.25,-0.1187369
34.3,-0.1522363
34.35,-6.023073E-02
34.4,6.771538E-02
34.45,0.212015
34.5,0.2427675
34.55,0.2727624
34.6,0.1738128
34.65,0.1784783
34.7,0.1147332
34.75,0.1194941
34.8,0.1132208
34.85,8.983064E-02
34.9,0.135968
34.95,0.2642059
35,0.2898099
35.05,0.1228939
35.1,-5.747072E-02
35.15,-0.1583702
35.2,-0.1927513
35.25,-4.719973E-02
35.3,2.663231E-02
35.35,0.1383333
35.4,0.1494845
35.45,0.1729208
35.5,0.1199133
35.55,5.22038E-04
35.6,-1.477067E-02
35.65,4.335906E-02
35.7,0.2058729
35.75,0.2509919
35.8,0.2580104
35.85,0.1788595
35.9,0.2061801
35.95,0.2262688
36,0.3753507
36.05,0.3957671
36.1,0.4558907
36.15,0.3788376
36.2,0.3208844
36.25,0.2714596
36.3,0.3113571
36.35,0.3690963
36.4,0.384205
36.45,0.3469241
36.5,0.3782285
36.55,0.3665471
36.6,0.4004383
36.65,0.4645869
36.7,0.5343388
36.75,0.4712267
36.8,0.3392769
36.85,0.3129041
36.9,0.2527414
36.95,0.2744265
37,0.4173367
37.05,0.5149804
37.1,0.5488265
37.15,0.6036261
37.2,0.6223367
37.25,0.5646586
37.3,0.6361356
37.35,0.496437
37.4,0.4235633
37.45,0.3800936
37.5,0.3970348
37.55,0.4783297
37.6,0.6059816
37.65,0.5318573
37.7,0.4620182
37.75,0.5448601
