Data File Name,2100 expert_High Sensitivity DNA Assay_DE13805071_2013-12-03_10-55-45.xad
Data File Path,C:\Users\Laura\Documents\ARTICLE\05_different cells\adipocytes mouse\shearing
Date Created,"Tuesday, December 03, 2013 9:55:45 AM"
Date Last Modified,"Tuesday, December 03, 2013 10:37:03 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,+
Number of Events,2121
 
Time,Value
32,2.981405E-02
32.05,0.1006266
32.1,1.921628E-02
32.15,-9.839235E-02
32.2,-0.0887466
32.25,-9.008262E-02
32.3,9.938675E-03
32.35,0.1753244
32.4,0.2156158
32.45,0.1695999
32.5,8.231459E-02
32.55,-3.397389E-02
32.6,-0.1207074
32.65,-0.1732301
32.7,-0.1449184
32.75,-0.174677
32.8,-0.1179954
32.85,-4.385065E-02
32.9,-0.0118147
32.95,1.75611E-03
33,-0.1337068
33.05,-0.2257524
33.1,-0.2518372
33.15,-0.2448496
33.2,-0.1506663
33.25,-5.711192E-02
33.3,-1.852094E-02
33.35,-0.1241968
33.4,-0.2646964
33.45,-0.3056469
33.5,-0.3347398
33.55,-0.3458964
33.6,-0.3588762
33.65,-0.4369472
33.7,-0.5571229
33.75,-0.5549309
33.8,-0.4870392
33.85,-0.437541
33.9,-0.4366824
33.95,-0.4682073
34,-0.5023282
34.05,-0.5564483
34.1,-0.4682078
34.15,-0.4100027
34.2,-0.4251342
34.25,-0.4801588
34.3,-0.5578339
34.35,-0.5455598
34.4,-0.5563125
34.45,-0.4914443
34.5,-0.3755243
34.55,-0.3118083
34.6,-0.3466395
34.65,-0.4298451
34.7,-0.5091006
34.75,-0.6275667
34.8,-0.6987072
34.85,-0.7829489
34.9,-0.7154198
34.95,-0.6808683
35,-0.6416281
35.05,-0.6122275
35.1,-0.6767076
35.15,-0.8020977
35.2,-0.9419146
35.25,-0.9374278
35.3,-0.9540056
35.35,-0.8200467
35.4,-0.7245466
35.45,-0.6827516
35.5,-0.720221
35.55,-0.7649386
35.6,-0.7541344
35.65,-0.7402161
35.7,-0.7442573
35.75,-0.8199237
35.8,-0.9469486
35.85,-1.025214
35.9,-1.070345
35.95,-0.9386941
36,-0.8686228
36.05,-0.7534756
36.1,-0.7144967
36.15,-0.747206
36.2,-0.8363619
36.25,-0.8877791
36.3,-0.8956792
36.35,-1.017802
36.4,-1.10655
36.45,-1.161433
36.5,-1.169247
36.55,-1.151163
36.6,-1.158635
36.65,-1.137124
36.7,-1.121812
36.75,-1.152131
36.8,-1.12808
36.85,-1.103631
36.9,-1.005574
36.95,-0.9563364
37,-0.8714982
37.05,-0.9052092
37.1,-1.057857
37.15,-1.110842
37.2,-1.041825
37.25,-0.9843723
37.3,-1.00965
37.35,-1.034064
37.4,-1.063638
37.45,-1.016149
37.5,-0.8971642
37.55,-0.8122002
37.6,-0.8405273
37.65,-0.9162076
37.7,-0.9530072
