Data File Name,2100 expert_High Sensitivity DNA Assay_DE13805071_2013-12-03_10-55-45.xad
Data File Path,C:\Users\Laura\Documents\ARTICLE\05_different cells\adipocytes mouse\shearing
Date Created,"Tuesday, December 03, 2013 9:55:45 AM"
Date Last Modified,"Tuesday, December 03, 2013 10:37:03 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,-
Number of Events,2121
 
Time,Value
32,0.1095231
32.05,0.1516078
32.1,1.027526E-02
32.15,-5.432405E-02
32.2,-8.586168E-02
32.25,-0.1739091
32.3,-0.1105875
32.35,4.788916E-02
32.4,0.136665
32.45,0.1997503
32.5,0.2267805
32.55,0.1167648
32.6,-1.771064E-02
32.65,-7.417137E-02
32.7,-6.214119E-02
32.75,1.278392E-02
32.8,2.799847E-02
32.85,-4.230383E-02
32.9,-0.0550907
32.95,-5.720489E-02
33,-9.533199E-02
33.05,-0.107968
33.1,-0.0702111
33.15,-8.910935E-02
33.2,-6.783187E-02
33.25,0.1438642
33.3,0.2448623
33.35,0.2650959
33.4,0.2666495
33.45,0.1456654
33.5,-1.710018E-02
33.55,-0.1413745
33.6,-0.1364211
33.65,-0.1820392
33.7,-0.2309777
33.75,-0.2990522
33.8,-0.3051418
33.85,-0.2561316
33.9,-0.1442626
33.95,0.0193482
34,0.1044561
34.05,8.769468E-02
34.1,-1.481947E-02
34.15,-0.1336341
34.2,-0.1846421
34.25,-0.2721429
34.3,-0.3278781
34.35,-0.3883806
34.4,-0.3916711
34.45,-0.3391458
34.5,-0.2371269
34.55,-0.1342865
34.6,-0.1543126
34.65,-0.2748208
34.7,-0.5191433
34.75,-0.590731
34.8,-0.4946652
34.85,-0.3824005
34.9,-0.198678
34.95,-0.1434576
35,-0.222644
35.05,-0.3861994
35.1,-0.4269943
35.15,-0.3789448
35.2,-0.3952894
35.25,-0.3781934
35.3,-0.4307142
35.35,-0.4470039
35.4,-0.4613695
35.45,-0.3816482
35.5,-0.4129205
35.55,-0.6316316
35.6,-0.6827917
35.65,-0.6838837
35.7,-0.635407
35.75,-0.5506452
35.8,-0.458801
35.85,-0.5075088
35.9,-0.6222845
35.95,-0.714128
36,-0.6633233
36.05,-0.5113977
36.1,-0.2375854
36.15,-9.115981E-02
36.2,-0.1189318
36.25,-0.2727562
36.3,-0.415677
36.35,-0.4590587
36.4,-0.5280631
36.45,-0.4818881
36.5,-0.5363236
36.55,-0.5576007
36.6,-0.5009467
36.65,-0.4917031
36.7,-0.52158
36.75,-0.5292172
36.8,-0.4918594
36.85,-0.5590234
36.9,-0.5886441
36.95,-0.61177
37,-0.6390439
37.05,-0.6034136
37.1,-0.499956
37.15,-0.4345907
37.2,-0.4951054
37.25,-0.6341183
37.3,-0.7466265
37.35,-0.7484099
37.4,-0.6841747
37.45,-0.6816265
37.5,-0.7107374
37.55,-0.7757096
37.6,-0.8607264
