Data File Name,2100 expert_High Sensitivity DNA Assay_DE13805071_2013-11-18_15-35-14.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2013-11-18
Date Created,"Monday, November 18, 2013 2:35:13 PM"
Date Last Modified,"Monday, November 18, 2013 4:45:26 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Cor2_H3K79me2_ChIP
Number of Events,2121
 
Time,Value
32,6.356812E-02
32.05,6.356812E-02
32.1,6.356812E-02
32.15,6.356812E-02
32.2,6.356812E-02
32.25,6.356812E-02
32.3,6.356812E-02
32.35,0.148443
32.4,0.2008241
32.45,0.1389989
32.5,8.256987E-02
32.55,8.380517E-02
32.6,-5.656277E-03
32.65,-0.1465175
32.7,-0.2270714
32.75,-0.259154
32.8,-0.3474067
32.85,-0.4217361
32.9,-0.3809038
32.95,-0.1767916
33,0.1154889
33.05,0.4111591
33.1,0.5235496
33.15,0.4225001
33.2,0.2096193
33.25,-7.074623E-02
33.3,-0.219154
33.35,-0.2828963
33.4,-0.2270776
33.45,-0.1411393
33.5,-3.792338E-02
33.55,2.854402E-02
33.6,2.069317E-02
33.65,-2.152279E-03
33.7,-7.260052E-02
33.75,-0.1521841
33.8,-4.723163E-02
33.85,2.414897E-03
33.9,1.170361E-02
33.95,-5.30151E-03
34,-0.124779
34.05,-0.1785045
34.1,-0.2590282
34.15,-0.2030641
34.2,-0.1086263
34.25,9.566103E-04
34.3,-0.0721151
34.35,-7.161165E-02
34.4,-0.1150163
34.45,-0.1113011
34.5,-0.1590959
34.55,-0.1904665
34.6,-0.2412493
34.65,-0.3458632
34.7,-0.4347828
34.75,-0.3166841
34.8,-0.2000463
34.85,1.041345E-02
34.9,0.1955902
34.95,0.3020306
35,0.3304003
35.05,0.2361193
35.1,0.2345036
35.15,0.3624325
35.2,0.5515437
35.25,0.5343955
35.3,0.4604445
35.35,0.3197191
35.4,0.2269101
35.45,1.886054E-02
35.5,-4.573976E-02
35.55,-4.846641E-02
35.6,-0.2327688
35.65,-0.3340288
35.7,-0.1622938
35.75,-6.019111E-02
35.8,0.1529449
35.85,0.2200034
35.9,0.306235
35.95,0.2642304
36,0.1503704
36.05,0.1646144
36.1,0.2040869
36.15,0.2395076
36.2,0.2880396
36.25,0.2817724
36.3,0.1916378
36.35,4.377872E-02
36.4,-4.433677E-02
36.45,-0.1365936
36.5,-0.1913449
36.55,-0.2006814
36.6,-0.2340994
36.65,-0.2295846
36.7,-0.2685456
36.75,-0.258224
36.8,-0.2217291
36.85,-0.1204695
36.9,5.918577E-02
36.95,0.1590511
37,0.1736491
37.05,0.18442
37.1,0.1830888
37.15,0.1748234
37.2,0.2114319
37.25,0.2710615
37.3,0.2359113
37.35,0.1260108
37.4,8.937215E-02
37.45,0.1438047
37.5,0.2467368
37.55,0.3330568
37.6,0.4069699
37.65,0.3565554
37.7,0.2428237
37.75,0.1587316
37.8,0.1767579
37.85,0.1893952
37.9,0.1947245
37.95,0.2352978
38,0.2513871
38.05,0.1622997
38.1,8.163857E-02
38.15,6.794748E-02
38.2,9.369982E-02
38.25,5.734056E-02
38.3,7.007593E-02
38.35,0.1345455
38.4,9.419242E-02
38.45,-4.858897E-02
38.5,-4.000307E-02
38.55,0.1016863
38.6,0.2097062
38.65,0.2781292
38.7,0.3158608
38.75,0.2587585
38.8,0.1013996
38.85,2.723107E-02
38.9,0.1184291
38.95,0.2882433
39,0.4413837
39.05,0.5400202
39.1,0.6829072
39.15,0.8045232
39.2,0.8970915
39.25,0.9920675
39.3,0.9733319
39.35,0.89925
39.4,0.772773
39.45,0.6644904
39.5,0.7125837
39.55,0.7494576
39.6,0.6782778
39.65,0.5106966
39.7,0.3460431
39.75,0.3167358
39.8,0.3707832
39.85,0.5329842
39.9,0.7025208
39.95,0.7468979
40,0.7219806
40.05,0.7547283
40.1,0.8351785
40.15,0.9112916
40.2,0.9033944
40.25,0.8171557
40.3,0.6935766
40.35,0.7074313
40.4,0.7615833
40.45,0.7599019
40.5,0.7229481
40.55,0.7290379
40.6,0.7705697
40.65,0.7763144
40.7,0.8626805
40.75,0.9431617
40.8,0.8469552
40.85,0.779048
40.9,0.7409219
40.95,0.7406498
41,0.5729572
41.05,0.4475164
41.1,0.502216
41.15,0.5840602
41.2,0.6634796
41.25,0.8688937
41.3,0.9449878
41.35,0.8664351
41.4,0.6593333
41.45,0.5084762
41.5,0.4199326
41.55,0.3548084
41.6,0.3051636
41.65,0.3880281
41.7,0.4436173
41.75,0.4632338
41.8,0.4833082
41.85,0.5267444
41.9,0.577046
41.95,0.5638827
42,0.4891669
42.05,0.3316143
42.1,0.2000099
42.15,0.0130337
42.2,-0.0455567
42.25,-8.958506E-02
42.3,-0.0013832
42.35,0.1936125
42.4,0.3310794
42.45,0.5643582
42.5,1.180793
42.55,2.367658
42.6,5.357256
42.65,11.2977
42.7,22.20665
42.75,38.60546
42.8,60.61763
42.85,86.68856
42.9,112.3815
42.95,132.3145
43,141.8631
43.05,138.0455
43.1,121.9176
43.15,97.54471
43.2,70.59451
43.25,46.15136
43.3,27.23359
43.35,14.85368
43.4,7.977791
43.45,4.708235
43.5,3.575807
43.55,3.312037
43.6,3.081103
43.65,2.824983
43.7,2.537632
43.75,2.114774
43.8,1.781932
43.85,1.652447
43.9,1.668433
43.95,1.677005
44,1.613682
44.05,1.4752
44.1,1.348028
44.15,1.180129
44.2,1.197674
44.25,1.273826
44.3,1.312571
44.35,1.28422
44.4,1.405609
44.45,1.519009
44.5,1.653829
44.55,1.76856
44.6,1.789166
44.65,1.703413
44.7,1.555972
44.75,1.293883
44.8,1.045665
44.85,0.7950925
44.9,0.7767717
44.95,0.9313321
45,1.121661
45.05,1.272636
45.1,1.315259
45.15,1.221848
45.2,1.046748
45.25,0.9716409
45.3,1.044747
45.35,1.079736
45.4,1.034489
45.45,0.9305418
45.5,0.8564926
45.55,0.8309131
45.6,0.8836815
45.65,1.138239
45.7,1.380795
45.75,1.519294
45.8,1.496987
45.85,1.326815
45.9,1.157348
45.95,1.036103
46,1.006403
46.05,1.080711
46.1,1.179595
46.15,1.277013
46.2,1.279087
46.25,1.172755
46.3,1.033498
46.35,0.9088927
46.4,0.8924
46.45,0.9616799
46.5,1.079559
46.55,1.276744
46.6,1.362719
