Data File Name,2100 expert_High Sensitivity DNA Assay_DE13805071_2013-11-18_15-35-14.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2013-11-18
Date Created,"Monday, November 18, 2013 2:35:13 PM"
Date Last Modified,"Monday, November 18, 2013 4:45:26 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,CC1_H3K27ac_ChIP
Number of Events,2121
 
Time,Value
32,1.744915E-03
32.05,2.215851E-02
32.1,-4.865056E-03
32.15,-6.883891E-02
32.2,-1.291144E-02
32.25,1.547692E-02
32.3,8.343059E-02
32.35,0.172542
32.4,0.1455056
32.45,0.1307104
32.5,9.491289E-02
32.55,4.754061E-02
32.6,9.058946E-03
32.65,4.676385E-02
32.7,0.1241928
32.75,0.1212377
32.8,4.987603E-02
32.85,-9.411378E-02
32.9,-0.2135313
32.95,-0.2734188
33,-0.1653283
33.05,5.339917E-02
33.1,0.2014795
33.15,0.2027022
33.2,9.585351E-02
33.25,4.616578E-02
33.3,0.1015416
33.35,0.1308397
33.4,0.2298528
33.45,0.2926657
33.5,0.2940023
33.55,0.2437471
33.6,0.2028482
33.65,0.1828604
33.7,-5.010851E-02
33.75,-0.3197547
33.8,-0.4916615
33.85,-0.492166
33.9,-0.4312634
33.95,-0.3946393
34,-0.3011696
34.05,-0.2320254
34.1,-0.1646255
34.15,1.04136E-03
34.2,4.509505E-02
34.25,6.799698E-02
34.3,-1.643359E-02
34.35,-5.809462E-02
34.4,1.852354E-03
34.45,0.1014778
34.5,0.2465677
34.55,0.3323722
34.6,0.3037004
34.65,0.1906188
34.7,1.394599E-02
34.75,-0.154261
34.8,-0.2848393
34.85,-0.3486088
34.9,-0.3672822
34.95,-0.3112046
35,-0.2127555
35.05,-0.152841
35.1,-8.758154E-02
35.15,-1.253538E-02
35.2,6.520881E-02
35.25,0.167633
35.3,0.2272489
35.35,0.2635703
35.4,0.2071164
35.45,6.760655E-02
35.5,-3.173543E-02
35.55,-0.1115037
35.6,-0.1155618
35.65,-0.1511024
35.7,-0.2101513
35.75,-0.1218039
35.8,-2.969922E-02
35.85,3.965333E-02
35.9,0.1108817
35.95,0.1561724
36,0.105702
36.05,-1.014157E-02
36.1,-0.1249043
36.15,-0.1909041
36.2,-0.2130546
36.25,-0.1858008
36.3,-0.1207962
36.35,-5.320239E-02
36.4,-7.458512E-02
36.45,-0.1396647
36.5,-0.1830089
36.55,-0.1027931
36.6,-6.100887E-02
36.65,1.664392E-03
36.7,-6.233234E-03
36.75,-0.1390512
36.8,-0.1721122
36.85,-9.339318E-02
36.9,-1.905278E-02
36.95,-0.1818081
37,-0.3259821
37.05,-0.3138529
37.1,-0.1475126
37.15,0.1493897
37.2,0.3362611
37.25,0.3057941
37.3,0.1075135
37.35,-0.1386851
37.4,-0.2807535
37.45,-0.3006734
37.5,-0.218617
37.55,-8.146272E-02
37.6,0.0990107
37.65,0.2596304
37.7,0.3143767
37.75,0.2517664
37.8,0.1234398
37.85,-7.393999E-02
37.9,-0.1698831
37.95,-0.1253957
38,-7.968962E-02
38.05,-9.899239E-02
38.1,-0.166738
38.15,-0.2771119
38.2,-0.3251395
38.25,-0.2860527
38.3,-0.1554573
38.35,-7.265193E-02
38.4,-0.1362737
38.45,-0.2172087
38.5,-0.2348903
38.55,-0.2040831
38.6,-0.1144796
38.65,-3.141064E-02
38.7,-1.123401E-02
38.75,-4.647216E-02
38.8,-8.413758E-02
38.85,0.1517369
38.9,0.441165
38.95,0.6310025
39,0.6875476
39.05,0.5649126
39.1,0.3654952
39.15,0.2421281
39.2,0.2481164
39.25,0.3302086
39.3,0.3117187
39.35,0.2426771
39.4,0.1448821
39.45,7.044319E-02
39.5,8.509748E-02
39.55,7.226162E-02
39.6,3.098455E-02
39.65,5.610857E-02
39.7,0.1082214
39.75,0.1525385
39.8,0.1864031
39.85,0.1981868
39.9,0.200343
39.95,0.1944713
40,0.2747073
40.05,0.3487424
40.1,0.3826011
40.15,0.3532075
40.2,0.2750132
40.25,0.2121407
40.3,0.1730427
40.35,0.1311018
40.4,0.2306907
40.45,0.3853684
40.5,0.5771621
40.55,0.7446012
40.6,0.771381
40.65,0.7281886
40.7,0.543152
40.75,0.4666237
40.8,0.3756227
40.85,0.2694762
40.9,0.2949198
40.95,0.3200907
41,0.2743874
41.05,0.2601559
41.1,0.3017139
41.15,0.3573851
41.2,0.3354798
41.25,0.2888696
41.3,0.1498805
41.35,8.270422E-02
41.4,0.1415309
41.45,0.2995276
41.5,0.4046963
41.55,0.5111365
41.6,0.5321791
41.65,0.5229332
41.7,0.5721157
41.75,0.6846311
41.8,0.7030772
41.85,0.5996946
41.9,0.5092151
41.95,0.4392592
42,0.3934471
42.05,0.4171212
42.1,0.553147
42.15,0.7152382
42.2,0.8153136
42.25,0.8392486
42.3,0.7011201
42.35,0.4928038
42.4,0.4571981
42.45,0.7705742
42.5,1.613384
42.55,3.370905
42.6,7.212307
42.65,14.23769
42.7,25.83592
42.75,42.93208
42.8,65.71021
42.85,91.82847
42.9,116.9867
42.95,136.6104
43,145.6976
43.05,141.4577
43.1,125.3019
43.15,101.1393
43.2,74.6804
43.25,50.1946
43.3,31.01714
43.35,18.17071
43.4,10.63562
43.45,6.833572
43.5,5.099095
43.55,4.306919
43.6,3.894949
43.65,3.451795
43.7,3.289321
43.75,3.240955
43.8,3.232419
43.85,3.096847
43.9,2.914417
43.95,2.731332
44,2.59567
44.05,2.436166
44.1,2.337643
44.15,2.312418
44.2,2.298762
44.25,2.223867
44.3,2.05651
44.35,1.983485
44.4,1.848451
44.45,1.684735
44.5,1.696276
44.55,1.78397
44.6,1.82334
44.65,1.789122
44.7,1.832089
44.75,1.990838
44.8,1.971505
44.85,1.939475
44.9,1.849763
44.95,1.793777
45,1.876334
45.05,1.926491
45.1,2.134276
45.15,2.188883
45.2,2.136135
45.25,2.255318
45.3,2.411903
45.35,2.567882
45.4,2.671795
45.45,2.555031
45.5,2.516649
45.55,2.428344
45.6,2.493497
45.65,2.640066
45.7,2.771618
45.75,2.85962
45.8,2.865544
45.85,2.828917
45.9,2.834363
45.95,2.824376
46,2.872482
46.05,3.040658
46.1,3.212267
46.15,3.382025
46.2,3.52679
46.25,3.601673
46.3,3.60156
46.35,3.663325
