Data File Name,2100 expert_High Sensitivity DNA Assay_DE13805071_2013-11-18_15-35-14.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2013-11-18
Date Created,"Monday, November 18, 2013 2:35:13 PM"
Date Last Modified,"Monday, November 18, 2013 4:45:26 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,3.032027E-02
32.05,3.224699E-02
32.1,0.0679222
32.15,-3.598597E-02
32.2,-4.367643E-02
32.25,3.710344E-02
32.3,6.492543E-03
32.35,0.194042
32.4,0.2180697
32.45,0.1641646
32.5,0.1186363
32.55,4.719276E-02
32.6,-0.1133126
32.65,-0.2410536
32.7,-0.1623827
32.75,-6.269173E-02
32.8,0.1349827
32.85,0.1313664
32.9,0.0669022
32.95,6.576443E-02
33,5.834563E-02
33.05,0.1051193
33.1,0.1329613
33.15,9.496237E-03
33.2,-0.1029677
33.25,-1.047359E-02
33.3,4.695689E-02
33.35,7.708659E-02
33.4,0.1336698
33.45,0.1291019
33.5,2.512199E-02
33.55,9.897969E-03
33.6,0.0854362
33.65,0.0393919
33.7,7.835152E-02
33.75,0.2216965
33.8,0.2949565
33.85,0.2121646
33.9,0.165205
33.95,0.2173277
34,0.2090482
34.05,0.2562851
34.1,0.3143704
34.15,0.2924611
34.2,0.2635111
34.25,0.2806795
34.3,0.3220279
34.35,0.328293
34.4,0.2511712
34.45,0.1561864
34.5,6.080889E-02
34.55,-0.0302599
34.6,-0.1207155
34.65,-9.577804E-02
34.7,-3.522725E-02
34.75,0.0222014
34.8,0.18453
34.85,0.1698459
34.9,-1.390068E-02
34.95,-0.1920765
35,-0.2627024
35.05,-9.581456E-02
35.1,0.1563807
35.15,0.2687959
35.2,0.1865023
35.25,1.792607E-02
35.3,-0.1684853
35.35,-0.2079254
35.4,-9.482358E-02
35.45,-5.724096E-02
35.5,-0.1649703
35.55,-0.2522627
35.6,-0.3543771
35.65,-0.2652425
35.7,-0.1313978
35.75,-5.282007E-02
35.8,-7.111336E-02
35.85,-0.1428252
35.9,-0.207561
35.95,-0.1493651
36,-1.392221E-02
36.05,-4.748265E-02
36.1,-0.1222025
36.15,-0.1356431
36.2,-0.1522264
36.25,-0.221277
36.3,-0.1876336
36.35,-0.3032893
36.4,-0.3779013
36.45,-0.3656682
36.5,-0.1790694
36.55,-0.1192205
36.6,-0.1099285
36.65,-0.1915351
36.7,-0.3066103
36.75,-0.2663448
36.8,-0.257815
36.85,-0.1794036
36.9,-0.2655021
36.95,-0.3264071
37,-0.4432997
37.05,-0.3740502
37.1,-0.2744185
37.15,-0.3101693
37.2,-0.2998842
37.25,-0.3644145
37.3,-0.3706518
37.35,-0.3482139
37.4,-0.2342864
37.45,-0.1621628
37.5,-0.1570669
37.55,-0.2035047
37.6,-0.2682186
37.65,-0.2160289
37.7,-0.2591879
37.75,-0.2711454
37.8,-0.2864352
37.85,-0.4263327
37.9,-0.5976261
37.95,-0.6327819
38,-0.5296702
38.05,-0.4418867
38.1,-0.2679613
38.15,-0.3607115
38.2,-0.4039244
38.25,-0.3201401
38.3,-0.2250286
38.35,-0.1284718
38.4,-0.2002471
38.45,-0.3511678
38.5,-0.5296023
38.55,-0.5017225
38.6,-0.5218682
38.65,-0.7010831
38.7,-0.7115154
38.75,-0.6789755
38.8,-0.4955198
38.85,-0.2648094
38.9,-0.1619438
38.95,-0.2834345
39,-0.6952167
39.05,-0.7801641
39.1,-0.8281404
39.15,-0.7062938
39.2,-0.6176122
39.25,-0.6251194
39.3,-0.6555359
39.35,-0.6169376
39.4,-0.3827573
39.45,-0.2357295
39.5,-0.1721812
39.55,-0.4301989
39.6,-0.6218262
39.65,-0.7172281
39.7,-0.7139682
39.75,-0.5778261
39.8,-0.4019099
39.85,-0.3325884
39.9,-0.3792274
39.95,-0.1732389
40,-0.0910521
40.05,-0.159722
40.1,-0.2995513
40.15,-0.4453662
40.2,-0.4846511
40.25,-0.4537882
40.3,-0.318939
40.35,-0.2264344
40.4,-0.2892228
40.45,-0.222451
40.5,1.481792E-02
40.55,0.4730116
40.6,0.4262681
40.65,-0.8452548
40.7,-3.192822
40.75,-5.73637
40.8,-7.217836
40.85,-7.229336
40.9,-6.020609
40.95,-4.894567
41,-4.185448
41.05,-3.862499
41.1,-3.684932
41.15,-3.505161
41.2,-3.286081
41.25,-2.985528
41.3,-2.875756
41.35,-2.753339
41.4,-2.695411
41.45,-2.674695
41.5,-2.51674
41.55,-2.26793
41.6,-2.068799
41.65,-2.084747
41.7,-2.075245
41.75,-2.038912
41.8,-2.100809
41.85,-2.014142
41.9,-1.947518
41.95,-1.872823
42,-1.752858
42.05,-1.619039
42.1,-1.428853
42.15,-1.45199
42.2,-1.438385
42.25,-1.470143
42.3,-1.477848
42.35,-1.46978
42.4,-1.520522
42.45,-1.462815
42.5,-1.096368
42.55,0.3546675
42.6,3.683556
42.65,10.78248
42.7,22.97537
42.75,41.96421
42.8,67.84258
42.85,97.6365
42.9,126.0852
42.95,146.3164
43,152.9715
43.05,142.3931
43.1,119.4715
43.15,89.895
43.2,60.58268
43.25,36.44136
43.3,19.60222
43.35,9.623294
43.4,4.706355
43.45,2.61349
43.5,1.975837
43.55,1.852746
43.6,1.667448
43.65,1.395333
43.7,1.13522
43.75,0.9073256
43.8,0.6587033
43.85,0.6349307
43.9,0.5453021
43.95,0.4139222
44,0.2823831
44.05,0.1821789
44.1,-4.183647E-02
44.15,-0.2384515
44.2,-0.2158056
44.25,-0.2747592
44.3,-0.2987491
44.35,-0.1225088
44.4,-0.164709
44.45,-0.3297458
44.5,-0.4397842
44.55,-0.473896
44.6,-0.4657207
44.65,-0.3083999
44.7,-0.2832508
44.75,-0.5030544
44.8,-0.4795697
44.85,0.1234891
44.9,2.434749
44.95,8.420539
45,20.99263
45.05,43.54987
45.1,78.65163
45.15,124.7436
45.2,174.2886
45.25,214.9565
45.3,235.2159
45.35,229.1456
45.4,198.9155
45.45,153.5086
45.5,104.7099
45.55,62.73213
45.6,33.04525
45.65,16.04304
45.7,8.444408
45.75,5.65719
45.8,4.587694
45.85,3.895703
45.9,3.205904
45.95,2.46022
46,1.948962
46.05,1.694934
46.1,1.619599
46.15,1.5934
46.2,1.436579
46.25,1.274549
