% run  T(K) B(G)  baAmp e  baDeLo e  baDeGa e  stAmp e  stGau e  stPhi e  stDecR e  stBeta e 
1176 0,12 0,02 0,06269 0,007 14,21 3 0 0 0,1683 0,004 0 0 0 0 0,1449 0,02 0,4 0
1862 0,12 0 0,03417 0,005 11,1 6 0 0 0,1877 0,007 0 0 0 0 0,4472 0,05 0,4 0
1863 0,12 0,01 0,06385 0,005 14,58 2 0 0 0,1677 0,003 0 0 0 0 0,2131 0,02 0,4 0
1864 0,12 0,02 0,06403 0,006 19,5 3 0 0 0,1651 0,002 0 0 0 0 0,1331 0,01 0,4 0
1865 0,12 0,08 0,08097 0,01 71,65 1e+001 0 0 0,1773 0,002 0 0 0 0 0,05538 0,004 0,4 0
1866 0,12 0,15 0,04691 0,01 51,87 1e+001 0 0 0,1771 0,001 0 0 0 0 0,01654 0,002 0,4 0
1867 0,12 0,3 0,05376 0,01 78,74 2e+001 0 0 0,1793 0,001 0 0 0 0 0,005863 0,0007 0,4 0
1868 0,12 0,06 0,05527 0,008 32,78 7 0 0 0,1808 0,002 0 0 0 0 0,05933 0,004 0,4 0
1869 0,12 0,03 0,06249 0,007 23,8 5 0 0 0,1716 0,002 0 0 0 0 0,07278 0,006 0,4 0
1870 0,12 0,015 0,06529 0,008 17,98 4 0 0 0,1699 0,004 0 0 0 0 0,1262 0,01 0,4 0
1871 0,12 0,007 0,06412 0 12,18 2 0 0 0,1704 0,004 0 0 0 0 0,1826 0,02 0,4 0
1872 0,12 0,003 0,04051 0,004 10,67 3 0 0 0,1868 0,004 0 0 0 0 0,3043 0,02 0,4 0
1873 0,12 0,0125 0,05749 0,004 11,26 2 0 0 0,1696 0,003 0 0 0 0 0,1466 0,01 0,4 0
1874 0,12 0,045 0,06321 0,007 33,32 6 0 0 0,1738 0,002 0 0 0 0 0,06243 0,004 0,4 0
