% run  T(K) B(G)  baAmp e  baDeLo e  baDeGa e  baAmp e  baDeLo e  baDeGa e  baAmp e  baDeLo e  baDeGa e 
1673 0.019 0 0.03738 0.0006 0 0 0 0 0.043 0.0007 1.029 0.05 0 0 0.1532 0.01 96.74 8 0 0
1677 0.1 0 0.03956 0.0007 0 0 0 0 0.04421 0.001 1.141 0.08 0 0 0.164 0.02 105 1e+001 0 0
1678 0.1 0 0.03884 0.001 0 0 0 0 0.04353 0.001 0.9923 0.1 0 0 0.1396 0.02 90.98 2e+001 0 0
1679 0.1 1000 0.01763 0.0009 0 0 0 0 0.0423 0.001 0.9378 0.07 0 0 0.114 0.01 80.28 1e+001 0 0
1681 0.1 2000 0.03655 0.0009 0 0 0 0 0.03933 0.001 1.092 0.1 0 0 0.05309 0 51.88 9 0 0
1683 0.1 3000 0.04353 0.003 0 0 0 0 0.0419 0.002 0.5353 0.09 0 0 0.0379 0.01 33.13 2e+001 0 0
1685 0.1 3500 0.05956 0.002 0 0 0 0 0.03392 0.001 0.7053 0.1 0 0 0.02774 0.004 16.5 6 0 0
1687 0.1 4000 0.06181 0.003 0 0 0 0 0.03663 0.002 0.511 0.09 0 0 0.02921 0.004 17.68 5 0 0
1689 0.1 4500 0.07068 0.003 0 0 0 0 0.03305 0.002 0.6676 0.2 0 0 0.02207 0.004 12.19 9 0 0
1691 0.1 5000 0.07583 0.001 0 0 0 0 0.03448 0.001 0.7447 0.09 0 0 0.03719 0.007 42.06 1e+001 0 0
1693 0.1 5500 0.07947 0.002 0 0 0 0 0.03472 0.001 0.7375 0.1 0 0 0.03451 0.009 37.09 2e+001 0 0
1695 0.1 6000 0.08458 0.001 0 0 0 0 0.03414 0.001 0.8513 0.09 0 0 0.03293 0.009 56.44 2e+001 0 0
1697 0.1 6500 0.0847 0.002 0 0 0 0 0.0355 0.001 0.6251 0.1 0 0 0.03302 0.006 25.62 9 0 0
1699 0.1 7000 0.09215 0.002 0 0 0 0 0.03158 0.001 0.6858 0.09 0 0 0.02807 0.007 41.95 1e+001 0 0
1701 0.1 7500 0.09667 0.002 0 0 0 0 0.03357 0.001 0.687 0.1 0 0 0.04194 0.008 43.54 1e+001 0 0
1703 0.1 8000 0.09286 0.02 0 0 0 0 0.03052 0.02 0.3406 0.4 0 0 0.02439 0.006 8.407 5 0 0
